,cats,parent
0,Thể loại:Tháp Chăm,Thể_loại:Kiến_trúc_cổ_Việt_Nam
1,Thể loại:Đền thờ Ấn Độ giáo tại Việt Nam,Thể loại:Tháp Chăm
2,Thể loại:Đền thờ vua chúa Chăm Pa,Thể loại:Tháp Chăm
3,Thể loại:Chùa Việt Nam,Thể_loại:Kiến_trúc_cổ_Việt_Nam
4,Thể loại:Chùa Việt Nam theo tỉnh thành,Thể loại:Chùa Việt Nam
5,Thể loại:Chùa tại An Giang,Thể loại:Chùa Việt Nam theo tỉnh thành
6,Thể loại:Chùa tại Bạc Liêu,Thể loại:Chùa Việt Nam theo tỉnh thành
7,Thể loại:Chùa tại Bà Rịa – Vũng Tàu,Thể loại:Chùa Việt Nam theo tỉnh thành
8,Thể loại:Chùa tại Bắc Giang,Thể loại:Chùa Việt Nam theo tỉnh thành
9,Thể loại:Chùa tại Bắc Ninh,Thể loại:Chùa Việt Nam theo tỉnh thành
10,Thể loại:Chùa tại Bến Tre,Thể loại:Chùa Việt Nam theo tỉnh thành
11,Thể loại:Chùa tại Bình Định,Thể loại:Chùa Việt Nam theo tỉnh thành
12,Thể loại:Chùa tại Bình Dương,Thể loại:Chùa Việt Nam theo tỉnh thành
13,Thể loại:Chùa tại Bình Phước,Thể loại:Chùa Việt Nam theo tỉnh thành
14,Thể loại:Chùa tại Bình Thuận,Thể loại:Chùa Việt Nam theo tỉnh thành
15,Thể loại:Chùa tại Cần Thơ,Thể loại:Chùa Việt Nam theo tỉnh thành
16,Thể loại:Chùa tại Cà Mau,Thể loại:Chùa Việt Nam theo tỉnh thành
17,Thể loại:Chùa tại Đà Nẵng,Thể loại:Chùa Việt Nam theo tỉnh thành
18,Thể loại:Chùa tại Đắk Lắk,Thể loại:Chùa Việt Nam theo tỉnh thành
19,Thể loại:Chùa tại Đắk Nông,Thể loại:Chùa Việt Nam theo tỉnh thành
20,Thể loại:Chùa tại Đồng Tháp,Thể loại:Chùa Việt Nam theo tỉnh thành
21,Thể loại:Chùa tại Đồng Nai,Thể loại:Chùa Việt Nam theo tỉnh thành
22,Thể loại:Chùa tại Gia Lai,Thể loại:Chùa Việt Nam theo tỉnh thành
23,Thể loại:Chùa tại Hà Nam,Thể loại:Chùa Việt Nam theo tỉnh thành
24,Thể loại:Chùa tại Hà Nội,Thể loại:Chùa Việt Nam theo tỉnh thành
